

Date,Type,Size kB,Test Size Converted,Score Kbps,Score Mbps,Score kB/s,Score MB/s,Username,Computer ID,ISP / Host,Extra Identifier,Test ID
08/26/2015 11:24:19 am,DN,45056,44 MB,46265,45.18,5783,5.65,DASKAjA,77193099998,deutsche_telekom_ag,65------de,dfug7J3A
08/26/2015 11:09:18 am,DN,41984,41 MB,43791,42.76,5474,5.35,DASKAjA,77193099998,deutsche_telekom_ag,65------de,o2glRZNT
08/26/2015 10:54:16 am,DN,43776,42.8 MB,46470,45.38,5809,5.67,DASKAjA,77193099998,deutsche_telekom_ag,65------de,6xakNMXg
08/26/2015 10:39:16 am,DN,46336,45.3 MB,46309,45.22,5789,5.65,DASKAjA,77193099998,deutsche_telekom_ag,65------de,2QKOklSI
08/26/2015 10:24:14 am,DN,42880,41.9 MB,46371,45.28,5796,5.66,DASKAjA,77193099998,deutsche_telekom_ag,65------de,gPcpiYxX
08/26/2015 10:09:13 am,DN,45440,44.4 MB,46520,45.43,5815,5.68,DASKAjA,77193099998,deutsche_telekom_ag,65------de,ROo9QhAn
08/26/2015 9:54:13 am,DN,41088,40.1 MB,43302,42.29,5413,5.29,DASKAjA,77193099998,deutsche_telekom_ag,65------de,VW3qBskC
08/26/2015 9:39:07 am,DN,46464,45.4 MB,46471,45.38,5809,5.67,DASKAjA,77193099998,deutsche_telekom_ag,65------de,yoYRlHc4
08/26/2015 9:24:06 am,DN,43520,42.5 MB,46198,45.12,5775,5.64,DASKAjA,77193099998,deutsche_telekom_ag,65------de,TvVgM3ht
08/26/2015 9:09:04 am,DN,42496,41.5 MB,46583,45.49,5823,5.69,DASKAjA,77193099998,deutsche_telekom_ag,65------de,t9gfWZnb
08/26/2015 8:54:03 am,DN,44160,43.1 MB,46594,45.5,5824,5.69,DASKAjA,77193099998,deutsche_telekom_ag,65------de,pc9Asqxa
08/26/2015 8:39:02 am,DN,29696,29 MB,41013,40.05,5127,5.01,DASKAjA,77193099998,deutsche_telekom_ag,65------de,bRnuY7Od
